date_,Geography,Variable,Value
2015-10-01,National,Service-Providing,123733000
2015-10-01,National,Total Private,121180000
2015-09-01,National,Goods Producing,19887000
2015-09-01,National,Government,21973000
2015-09-01,National,Service-Providing,122590000
2015-09-01,National,Total Private,120504000
2015-08-01,National,Goods Producing,19992000
2015-08-01,National,Government,20973000
2015-08-01,National,Service-Providing,121929000
2015-08-01,National,Total Private,120948000
2015-07-01,National,Goods Producing,19962000
2015-07-01,National,Government,20784000
2015-07-01,National,Service-Providing,121767000
2015-07-01,National,Total Private,120945000
2015-06-01,National,Goods Producing,19875000
2015-06-01,National,Government,21949000
2015-06-01,National,Service-Providing,122806000
2015-06-01,National,Total Private,120732000
2015-05-01,National,Goods Producing,19627000
2015-05-01,National,Government,22365000
2015-05-01,National,Service-Providing,122578000
2015-05-01,National,Total Private,119840000
2015-04-01,National,Goods Producing,19399000
2015-04-01,National,Government,22409000
2015-04-01,National,Service-Providing,121865000
2015-04-01,National,Total Private,118855000
2015-03-01,National,Goods Producing,19153000
2015-03-01,National,Government,22348000
2015-03-01,National,Service-Providing,120927000
2015-03-01,National,Total Private,117732000
2015-02-01,National,Goods Producing,19042000
2015-02-01,National,Government,22259000
2015-02-01,National,Service-Providing,120281000
2015-02-01,National,Total Private,117064000
2015-01-01,National,Goods Producing,19033000
2015-01-01,National,Government,21823000
2015-01-01,National,Service-Providing,119458000
2015-01-01,National,Total Private,116668000
2014-12-01,National,Goods Producing,19397000
2014-12-01,National,Government,22307000
2014-12-01,National,Service-Providing,121909000
2014-12-01,National,Total Private,118999000
2014-11-01,National,Goods Producing,19552000
2014-11-01,National,Government,22421000
2014-11-01,National,Service-Providing,121762000
2014-11-01,National,Total Private,118893000
2014-10-01,National,Goods Producing,19643000
2014-10-01,National,Government,22307000
2014-10-01,National,Service-Providing,121205000
2014-10-01,National,Total Private,118541000
2014-09-01,National,Goods Producing,19640000
2014-09-01,National,Government,21810000
2014-09-01,National,Service-Providing,120153000
2014-09-01,National,Total Private,117983000
2014-08-01,National,Goods Producing,19685000
2014-08-01,National,Government,20794000
2014-08-01,National,Service-Providing,119420000
2014-08-01,National,Total Private,118311000
2014-07-01,National,Goods Producing,19606000
2014-07-01,National,Government,20590000
2014-07-01,National,Service-Providing,119121000
2014-07-01,National,Total Private,118137000
2014-06-01,National,Goods Producing,19470000
2014-06-01,National,Government,21837000
2014-06-01,National,Service-Providing,120334000
2014-06-01,National,Total Private,117967000
2014-05-01,National,Goods Producing,19178000
2014-05-01,National,Government,22227000
2014-05-01,National,Service-Providing,120039000
2014-05-01,National,Total Private,116990000
2014-04-01,National,Goods Producing,18924000
2014-04-01,National,Government,22274000
2014-04-01,National,Service-Providing,119382000
